ArticleTitle,ArticleAuthor,ArticleDate,JournalTitle,JournalVolume,JournalIssue,JournalPages,DOI,Notes
"'A human values issue': Actors, arguments, and regulatory change in the Florida land-based shark fishery.","Wester, J. & Turffs, D. & Shiffman, D. & Macdonald, C. (2023)",2023,"'A human values issue': Actors, arguments, and regulatory change in the Florida land-based shark fishery. Aquatic Conservation, Marine and Freshwater Ecosystems",32.0,12.0,,10.1002/aqc.3896,Batch 2: Recent papers (2021-2023)
3D relationship between hierarchical canal network and gradient mineralization of shark tooth osteodentin.,"Liu, Z.F. & Niu, Y.Y. & Fu, Z. & Dean, M. & Fu, Z.Y. & Hu, Y.M. & Zou, Z.Y. (2023)",2023,3D relationship between hierarchical canal network and gradient mineralization of shark tooth osteodentin. Acta Biomaterialia,,,,10.1016/j.actbio.2023.07.007,Batch 2: Recent papers (2021-2023)
A Bibliometric Analysis Concerning Local Ecological Knowledge on Elasmobranchs and Chimaeras.,"Nascimento, M.C. & Santos, S.R. & Vianna, M. (2023)",2023,A Bibliometric Analysis Concerning Local Ecological Knowledge on Elasmobranchs and Chimaeras. Ethnobiology and Conservation,,,,10.15451/ec2023-12-12.25-1-19,Batch 2: Recent papers (2021-2023)
A Cocktail of Plankton and Organochlorines for Whale Shark in the Foraging Areas of Nosy Be (Madagascar).,"Marsili, L. & Consales, G. & Romano, P. & Rosai, R. & Bava, P. & Reinero, F.R. & Micarelli, P. (2023)",2023,A Cocktail of Plankton and Organochlorines for Whale Shark in the Foraging Areas of Nosy Be (Madagascar). Diversity,15.0,8.0,,10.3390/d15080911,Batch 2: Recent papers (2021-2023)
A Mozambican marine protected area provides important habitat for vulnerable pelagic sharks.,"Murie, C.J.G. & Lebrato, M. & Lawrence, A. & Brown, J. & Gavard, L. & Bowles, K.R. & Jije, M.G. & Dicken, M. & Oliver, S.P. (2023)",2023,A Mozambican marine protected area provides important habitat for vulnerable pelagic sharks. Scientific Reports,13.0,1.0,,10.1038/s41598-023-32407-9,Batch 2: Recent papers (2021-2023)
A New Hybrid White Shark and Whale Optimization Approach for Estimating the Li-Ion Battery Model Parameters.,"Fathy, A. & Yousri, D. & Alharbi, A.G. & Abdelkareem, M.A. (2023)",2023,A New Hybrid White Shark and Whale Optimization Approach for Estimating the Li-Ion Battery Model Parameters. Sustainability,15.0,7.0,,10.3390/su15075667,Batch 2: Recent papers (2021-2023)
A New Species of Branchellion (Hirudinea: Piscicolidae) Parasitizing the Gills of Short-tail Stingrays (Batoidea: Dasyatidae) From the West Pacific.,"Jimi, N. & Shinji, J. & Hookabe, N. & Okanishi, M. & Woo, S.P. & Nakano, T. (2023)",2023,A New Species of Branchellion (Hirudinea: Piscicolidae) Parasitizing the Gills of Short-tail Stingrays (Batoidea: Dasyatidae) From the West Pacific. Zoological Science,40.0,4.0,,10.2108/zs220057,Batch 2: Recent papers (2021-2023)
A Novel One Health Approach concerning Yeast Present in the Oral Microbiome of the Endangered Rio Skate (Rioraja agassizii) from Southeastern Brazil.,"Oliveira, M.M.E. & Lopes, A.P. & Pinto, T.N. & da Costa, G.L. & Goes-Neto, A. & Hauser-Davis, R.A. (2023)",2023,A Novel One Health Approach concerning Yeast Present in the Oral Microbiome of the Endangered Rio Skate (Rioraja agassizii) from Southeastern Brazil. Microorganisms,11.0,8.0,,10.3390/microorganisms11081969,Batch 2: Recent papers (2021-2023)
A Preliminary Social Media Survey of Sharks and Batoids Captured in North Aegean Sea Commercial Fisheries.,"Kabasakal, H. (2023)",2023,"A Preliminary Social Media Survey of Sharks and Batoids Captured in North Aegean Sea Commercial Fisheries. Annales, Series Historia Naturalis",33.0,2.0,,10.19233/ASHN.2023.20,Batch 2: Recent papers (2021-2023)
A Review of the Conservation Status and Ecology of the Giant Freshwater Whipray (Urogymnus polylepis) across Its Known Distribution.,"Campbell, T. & Onboundisane, S. & Kong, H. & Hogan, Z.S. (2023)",2023,A Review of the Conservation Status and Ecology of the Giant Freshwater Whipray (Urogymnus polylepis) across Its Known Distribution. Water,15.0,13.0,,10.3390/w15132487,Batch 2: Recent papers (2021-2023)
"A Synoptic Review of the Cartilaginous Fishes (Chondrichthyes: Holocephali, Elasmobranchii) from the Upper Jurassic Konservat-Lagerstätten of Southern Germany: Taxonomy, Diversity, and Faunal Relationships.","Villalobos-Segura, E. & Stumpf, S. & Türtscher, J. & Jambura, P.L. & Begat, A. & López-Romero, F.A. & Fischer, J. & Kriwet, J. (2023)",2023,"A Synoptic Review of the Cartilaginous Fishes (Chondrichthyes: Holocephali, Elasmobranchii) from the Upper Jurassic Konservat-Lagerstätten of Southern Germany: Taxonomy, Diversity, and Faunal Relationships. Diversity",,,,10.3390/d15030386,Batch 2: Recent papers (2021-2023)
A bibliometric analysis of elasmobranch research in Ecuador.,"Mejia, D. & Briones-Mendoza, J. & Mendoza-Nieto, K. & Toala-Franco, D. (2023)",2023,A bibliometric analysis of elasmobranch research in Ecuador. Regional Studies in Marine Science,,,,10.1016/j.rsma.2023.102980,Batch 2: Recent papers (2021-2023)
"A checklist of dead fishes (Actinopterygii and Elasmobranchii) associated with the algal bloom event of the summer of 2022 on the Yucatan coasts, southern Gulf of Mexico.","Aguilar-Medrano, R. & Vega-Cendejas, M.E. & Espinola, A.A.C. (2023)",2023,"A checklist of dead fishes (Actinopterygii and Elasmobranchii) associated with the algal bloom event of the summer of 2022 on the Yucatan coasts, southern Gulf of Mexico. Acta Ichthyologica et Piscatoria",,,,10.3897/aiep.53.112253,Batch 2: Recent papers (2021-2023)
